check	status	detail
Mpower deterministic event/pair recomputation P07/38	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/39	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/39	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/39	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/39	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 39	PASS	A/sqrt(2) each component
pair diagnostic schema P07/39	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/39	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/39	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/40	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/40	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/40	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/40	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 40	PASS	A/sqrt(2) each component
pair diagnostic schema P07/40	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/40	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/40	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/41	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/41	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/41	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/41	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 41	PASS	A/sqrt(2) each component
pair diagnostic schema P07/41	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/41	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/41	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/42	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/42	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/42	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/42	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 42	PASS	A/sqrt(2) each component
pair diagnostic schema P07/42	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/42	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/42	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/43	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/43	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/43	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/43	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 43	PASS	A/sqrt(2) each component
pair diagnostic schema P07/43	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/43	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/43	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/44	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/44	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/44	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/44	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 44	PASS	A/sqrt(2) each component
pair diagnostic schema P07/44	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/44	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/44	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/45	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/45	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/45	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/45	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 45	PASS	A/sqrt(2) each component
pair diagnostic schema P07/45	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/45	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/45	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/46	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/46	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/46	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/46	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 46	PASS	A/sqrt(2) each component
pair diagnostic schema P07/46	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/46	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/46	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/47	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/47	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/47	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/47	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 47	PASS	A/sqrt(2) each component
pair diagnostic schema P07/47	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/47	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/47	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/48	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/48	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/48	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/48	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 48	PASS	A/sqrt(2) each component
pair diagnostic schema P07/48	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/48	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/48	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/49	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/49	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/49	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/49	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 49	PASS	A/sqrt(2) each component
pair diagnostic schema P07/49	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/49	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/49	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/50	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/50	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/50	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/50	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 50	PASS	A/sqrt(2) each component
pair diagnostic schema P07/50	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/50	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/50	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/51	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/51	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/51	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/51	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 51	PASS	A/sqrt(2) each component
pair diagnostic schema P07/51	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/51	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/51	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/52	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/52	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/52	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/52	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 52	PASS	A/sqrt(2) each component
pair diagnostic schema P07/52	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/52	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/52	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/53	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/53	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/53	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/53	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 53	PASS	A/sqrt(2) each component
pair diagnostic schema P07/53	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/53	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/53	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/54	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/54	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/54	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/54	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 54	PASS	A/sqrt(2) each component
pair diagnostic schema P07/54	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/54	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/54	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/55	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/55	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/55	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/55	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 55	PASS	A/sqrt(2) each component
pair diagnostic schema P07/55	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/55	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/55	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/56	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/56	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/56	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/56	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 56	PASS	A/sqrt(2) each component
pair diagnostic schema P07/56	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/56	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/56	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/57	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/57	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/57	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/57	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 57	PASS	A/sqrt(2) each component
pair diagnostic schema P07/57	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/57	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/57	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/58	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/58	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/58	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/58	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 58	PASS	A/sqrt(2) each component
pair diagnostic schema P07/58	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/58	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/58	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/59	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/59	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/59	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/59	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 59	PASS	A/sqrt(2) each component
pair diagnostic schema P07/59	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/59	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/59	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/60	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/60	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/60	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/60	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 60	PASS	A/sqrt(2) each component
pair diagnostic schema P07/60	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/60	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/60	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/61	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/61	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/61	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/61	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 61	PASS	A/sqrt(2) each component
pair diagnostic schema P07/61	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/61	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/61	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/62	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/62	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/62	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/62	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 62	PASS	A/sqrt(2) each component
pair diagnostic schema P07/62	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/62	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/62	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/63	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/63	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/63	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/63	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 63	PASS	A/sqrt(2) each component
pair diagnostic schema P07/63	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/63	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/63	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P07/64	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P07/64	PASS	cell id intentionally excluded from seed
mask exact count/hash P07/64	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P07/64	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 64	PASS	A/sqrt(2) each component
pair diagnostic schema P07/64	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P07/64	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P07/64	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/1	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/1	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/1	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/1	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 1	PASS	A/sqrt(2) each component
pair diagnostic schema P08/1	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/1	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/1	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/2	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/2	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/2	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/2	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 2	PASS	A/sqrt(2) each component
pair diagnostic schema P08/2	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/2	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/2	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/3	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/3	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/3	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/3	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 3	PASS	A/sqrt(2) each component
pair diagnostic schema P08/3	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/3	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/3	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/4	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/4	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/4	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/4	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 4	PASS	A/sqrt(2) each component
pair diagnostic schema P08/4	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/4	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/4	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/5	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/5	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/5	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/5	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 5	PASS	A/sqrt(2) each component
pair diagnostic schema P08/5	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/5	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/5	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/6	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/6	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/6	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/6	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 6	PASS	A/sqrt(2) each component
pair diagnostic schema P08/6	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/6	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/6	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/7	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/7	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/7	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/7	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 7	PASS	A/sqrt(2) each component
pair diagnostic schema P08/7	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/7	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/7	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/8	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/8	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/8	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/8	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 8	PASS	A/sqrt(2) each component
pair diagnostic schema P08/8	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/8	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/8	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/9	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/9	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/9	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/9	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 9	PASS	A/sqrt(2) each component
pair diagnostic schema P08/9	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/9	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/9	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/10	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/10	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/10	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/10	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 10	PASS	A/sqrt(2) each component
pair diagnostic schema P08/10	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/10	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/10	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/11	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/11	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/11	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/11	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 11	PASS	A/sqrt(2) each component
pair diagnostic schema P08/11	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/11	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/11	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/12	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/12	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/12	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/12	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 12	PASS	A/sqrt(2) each component
pair diagnostic schema P08/12	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/12	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/12	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/13	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/13	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/13	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/13	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 13	PASS	A/sqrt(2) each component
pair diagnostic schema P08/13	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/13	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/13	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/14	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/14	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/14	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/14	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 14	PASS	A/sqrt(2) each component
pair diagnostic schema P08/14	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/14	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/14	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/15	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/15	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/15	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/15	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 15	PASS	A/sqrt(2) each component
pair diagnostic schema P08/15	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/15	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/15	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/16	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/16	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/16	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/16	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 16	PASS	A/sqrt(2) each component
pair diagnostic schema P08/16	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/16	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/16	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/17	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/17	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/17	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/17	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 17	PASS	A/sqrt(2) each component
pair diagnostic schema P08/17	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/17	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/17	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/18	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/18	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/18	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/18	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 18	PASS	A/sqrt(2) each component
pair diagnostic schema P08/18	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/18	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/18	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/19	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/19	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/19	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/19	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 19	PASS	A/sqrt(2) each component
pair diagnostic schema P08/19	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/19	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/19	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/20	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/20	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/20	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/20	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 20	PASS	A/sqrt(2) each component
pair diagnostic schema P08/20	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/20	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P08/20	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P08/21	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P08/21	PASS	cell id intentionally excluded from seed
mask exact count/hash P08/21	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P08/21	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
symmetric energy declaration 21	PASS	A/sqrt(2) each component
pair diagnostic schema P08/21	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P08/21	PASS	wrapper metadata equals canonical null world
